2026-04-27 09:25:52,359 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labDensityAverage' | algorithm='rf' | artifacts='labDensityAverage_rf_v2'
2026-04-27 09:25:53,506 - INFO - pipeline.training_pipeline - Training completed | target='labDensityAverage' | algorithm='rf' | artifacts='artifacts\labDensityAverage_rf_v2'
2026-04-27 09:25:53,508 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labDensityAverage' | algorithm='xgb' | artifacts='labDensityAverage_xgb_tuned_v2'
2026-04-27 09:26:02,663 - INFO - pipeline.training_pipeline - Training completed | target='labDensityAverage' | algorithm='xgb' | artifacts='artifacts\labDensityAverage_xgb_tuned_v2'
2026-04-27 09:26:02,663 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labDensityAverage' | algorithm='lgbm' | artifacts='labDensityAverage_lgbm_v1'
2026-04-27 09:26:02,877 - INFO - pipeline.training_pipeline - Training completed | target='labDensityAverage' | algorithm='lgbm' | artifacts='artifacts\labDensityAverage_lgbm_v1'
2026-04-27 09:26:29,160 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labBendingAvg' | algorithm='rf' | artifacts='labBendingAvg_rf_v2'
2026-04-27 09:26:30,266 - INFO - pipeline.training_pipeline - Training completed | target='labBendingAvg' | algorithm='rf' | artifacts='artifacts\labBendingAvg_rf_v2'
2026-04-27 09:26:30,266 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labBendingAvg' | algorithm='xgb' | artifacts='labBendingAvg_xgb_tuned_v2'
2026-04-27 09:26:40,916 - INFO - pipeline.training_pipeline - Training completed | target='labBendingAvg' | algorithm='xgb' | artifacts='artifacts\labBendingAvg_xgb_tuned_v2'
2026-04-27 09:26:40,919 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labBendingAvg' | algorithm='lgbm' | artifacts='labBendingAvg_lgbm_v1'
2026-04-27 09:26:41,243 - INFO - pipeline.training_pipeline - Training completed | target='labBendingAvg' | algorithm='lgbm' | artifacts='artifacts\labBendingAvg_lgbm_v1'
2026-04-27 09:31:25,008 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labDensityAverage' | algorithm='rf' | artifacts='labDensityAverage_rf_v2'
2026-04-27 09:31:26,036 - INFO - pipeline.training_pipeline - Training completed | target='labDensityAverage' | algorithm='rf' | artifacts='artifacts\labDensityAverage_rf_v2'
2026-04-27 09:31:26,036 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labDensityAverage' | algorithm='xgb' | artifacts='labDensityAverage_xgb_tuned_v2'
2026-04-27 09:31:35,307 - INFO - pipeline.training_pipeline - Training completed | target='labDensityAverage' | algorithm='xgb' | artifacts='artifacts\labDensityAverage_xgb_tuned_v2'
2026-04-27 09:31:35,308 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labDensityAverage' | algorithm='lgbm' | artifacts='labDensityAverage_lgbm_v1'
2026-04-27 09:31:35,512 - INFO - pipeline.training_pipeline - Training completed | target='labDensityAverage' | algorithm='lgbm' | artifacts='artifacts\labDensityAverage_lgbm_v1'
2026-04-27 09:31:59,075 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labBendingAvg' | algorithm='rf' | artifacts='labBendingAvg_rf_v2'
2026-04-27 09:32:00,109 - INFO - pipeline.training_pipeline - Training completed | target='labBendingAvg' | algorithm='rf' | artifacts='artifacts\labBendingAvg_rf_v2'
2026-04-27 09:32:00,109 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labBendingAvg' | algorithm='xgb' | artifacts='labBendingAvg_xgb_tuned_v2'
2026-04-27 09:32:09,354 - INFO - pipeline.training_pipeline - Training completed | target='labBendingAvg' | algorithm='xgb' | artifacts='artifacts\labBendingAvg_xgb_tuned_v2'
2026-04-27 09:32:09,359 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labBendingAvg' | algorithm='lgbm' | artifacts='labBendingAvg_lgbm_v1'
2026-04-27 09:32:09,558 - INFO - pipeline.training_pipeline - Training completed | target='labBendingAvg' | algorithm='lgbm' | artifacts='artifacts\labBendingAvg_lgbm_v1'
2026-04-27 15:31:46,632 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labDensityAverage' | algorithm='rf' | artifacts='labDensityAverage_rf_v2'
2026-04-27 15:31:47,764 - INFO - pipeline.training_pipeline - Training completed | target='labDensityAverage' | algorithm='rf' | artifacts='artifacts\labDensityAverage_rf_v2'
2026-04-27 15:31:47,764 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labDensityAverage' | algorithm='xgb' | artifacts='labDensityAverage_xgb_tuned_v2'
2026-04-27 15:31:56,877 - INFO - pipeline.training_pipeline - Training completed | target='labDensityAverage' | algorithm='xgb' | artifacts='artifacts\labDensityAverage_xgb_tuned_v2'
2026-04-27 15:31:56,879 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labDensityAverage' | algorithm='lgbm' | artifacts='labDensityAverage_lgbm_v1'
2026-04-27 15:31:57,082 - INFO - pipeline.training_pipeline - Training completed | target='labDensityAverage' | algorithm='lgbm' | artifacts='artifacts\labDensityAverage_lgbm_v1'
2026-04-27 15:32:22,155 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labBendingAvg' | algorithm='rf' | artifacts='labBendingAvg_rf_v2'
2026-04-27 15:32:23,274 - INFO - pipeline.training_pipeline - Training completed | target='labBendingAvg' | algorithm='rf' | artifacts='artifacts\labBendingAvg_rf_v2'
2026-04-27 15:32:23,274 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labBendingAvg' | algorithm='xgb' | artifacts='labBendingAvg_xgb_tuned_v2'
2026-04-27 15:32:32,330 - INFO - pipeline.training_pipeline - Training completed | target='labBendingAvg' | algorithm='xgb' | artifacts='artifacts\labBendingAvg_xgb_tuned_v2'
2026-04-27 15:32:32,332 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labBendingAvg' | algorithm='lgbm' | artifacts='labBendingAvg_lgbm_v1'
2026-04-27 15:32:32,537 - INFO - pipeline.training_pipeline - Training completed | target='labBendingAvg' | algorithm='lgbm' | artifacts='artifacts\labBendingAvg_lgbm_v1'
2026-04-28 15:50:17,312 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labDensityAverage' | algorithm='rf' | artifacts='labDensityAverage_rf_v2'
2026-04-28 15:50:18,383 - INFO - pipeline.training_pipeline - Training completed | target='labDensityAverage' | algorithm='rf' | artifacts='artifacts\labDensityAverage_rf_v2'
2026-04-28 15:50:18,385 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labDensityAverage' | algorithm='xgb' | artifacts='labDensityAverage_xgb_tuned_v2'
2026-04-28 15:50:27,991 - INFO - pipeline.training_pipeline - Training completed | target='labDensityAverage' | algorithm='xgb' | artifacts='artifacts\labDensityAverage_xgb_tuned_v2'
2026-04-28 15:50:27,993 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labDensityAverage' | algorithm='lgbm' | artifacts='labDensityAverage_lgbm_v1'
2026-04-28 15:50:28,255 - INFO - pipeline.training_pipeline - Training completed | target='labDensityAverage' | algorithm='lgbm' | artifacts='artifacts\labDensityAverage_lgbm_v1'
2026-04-28 15:50:50,520 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labBendingAvg' | algorithm='rf' | artifacts='labBendingAvg_rf_v2'
2026-04-28 15:50:51,503 - INFO - pipeline.training_pipeline - Training completed | target='labBendingAvg' | algorithm='rf' | artifacts='artifacts\labBendingAvg_rf_v2'
2026-04-28 15:50:51,503 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labBendingAvg' | algorithm='xgb' | artifacts='labBendingAvg_xgb_tuned_v2'
2026-04-28 15:51:00,150 - INFO - pipeline.training_pipeline - Training completed | target='labBendingAvg' | algorithm='xgb' | artifacts='artifacts\labBendingAvg_xgb_tuned_v2'
2026-04-28 15:51:00,152 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labBendingAvg' | algorithm='lgbm' | artifacts='labBendingAvg_lgbm_v1'
2026-04-28 15:51:00,344 - INFO - pipeline.training_pipeline - Training completed | target='labBendingAvg' | algorithm='lgbm' | artifacts='artifacts\labBendingAvg_lgbm_v1'
2026-04-28 15:57:56,032 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labDensityAverage' | algorithm='rf' | artifacts='labDensityAverage_rf_v2'
2026-04-28 15:57:57,053 - INFO - pipeline.training_pipeline - Training completed | target='labDensityAverage' | algorithm='rf' | artifacts='artifacts\labDensityAverage_rf_v2'
2026-04-28 15:57:57,067 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labDensityAverage' | algorithm='xgb' | artifacts='labDensityAverage_xgb_tuned_v2'
2026-04-28 15:58:05,962 - INFO - pipeline.training_pipeline - Training completed | target='labDensityAverage' | algorithm='xgb' | artifacts='artifacts\labDensityAverage_xgb_tuned_v2'
2026-04-28 15:58:05,962 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labDensityAverage' | algorithm='lgbm' | artifacts='labDensityAverage_lgbm_v1'
2026-04-28 15:58:06,157 - INFO - pipeline.training_pipeline - Training completed | target='labDensityAverage' | algorithm='lgbm' | artifacts='artifacts\labDensityAverage_lgbm_v1'
2026-04-28 15:58:31,891 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labBendingAvg' | algorithm='rf' | artifacts='labBendingAvg_rf_v2'
2026-04-28 15:58:32,912 - INFO - pipeline.training_pipeline - Training completed | target='labBendingAvg' | algorithm='rf' | artifacts='artifacts\labBendingAvg_rf_v2'
2026-04-28 15:58:32,912 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labBendingAvg' | algorithm='xgb' | artifacts='labBendingAvg_xgb_tuned_v2'
2026-04-28 15:58:41,635 - INFO - pipeline.training_pipeline - Training completed | target='labBendingAvg' | algorithm='xgb' | artifacts='artifacts\labBendingAvg_xgb_tuned_v2'
2026-04-28 15:58:41,637 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labBendingAvg' | algorithm='lgbm' | artifacts='labBendingAvg_lgbm_v1'
2026-04-28 15:58:41,852 - INFO - pipeline.training_pipeline - Training completed | target='labBendingAvg' | algorithm='lgbm' | artifacts='artifacts\labBendingAvg_lgbm_v1'
2026-04-29 15:03:06,730 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labDensityAverage' | algorithm='rf' | artifacts='labDensityAverage_rf_v2'
2026-04-29 15:03:07,761 - INFO - pipeline.training_pipeline - Training completed | target='labDensityAverage' | algorithm='rf' | artifacts='artifacts\labDensityAverage_rf_v2'
2026-04-29 15:03:07,776 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labDensityAverage' | algorithm='xgb' | artifacts='labDensityAverage_xgb_tuned_v2'
2026-04-29 15:03:16,138 - INFO - pipeline.training_pipeline - Training completed | target='labDensityAverage' | algorithm='xgb' | artifacts='artifacts\labDensityAverage_xgb_tuned_v2'
2026-04-29 15:03:16,138 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labDensityAverage' | algorithm='lgbm' | artifacts='labDensityAverage_lgbm_v1'
2026-04-29 15:03:16,344 - INFO - pipeline.training_pipeline - Training completed | target='labDensityAverage' | algorithm='lgbm' | artifacts='artifacts\labDensityAverage_lgbm_v1'
2026-04-29 15:03:39,178 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labBendingAvg' | algorithm='rf' | artifacts='labBendingAvg_rf_v2'
2026-04-29 15:03:40,182 - INFO - pipeline.training_pipeline - Training completed | target='labBendingAvg' | algorithm='rf' | artifacts='artifacts\labBendingAvg_rf_v2'
2026-04-29 15:03:40,182 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labBendingAvg' | algorithm='xgb' | artifacts='labBendingAvg_xgb_tuned_v2'
2026-04-29 15:03:48,496 - INFO - pipeline.training_pipeline - Training completed | target='labBendingAvg' | algorithm='xgb' | artifacts='artifacts\labBendingAvg_xgb_tuned_v2'
2026-04-29 15:03:48,498 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labBendingAvg' | algorithm='lgbm' | artifacts='labBendingAvg_lgbm_v1'
2026-04-29 15:03:48,698 - INFO - pipeline.training_pipeline - Training completed | target='labBendingAvg' | algorithm='lgbm' | artifacts='artifacts\labBendingAvg_lgbm_v1'
2026-05-04 13:49:42,024 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labDensityAverage' | algorithm='rf' | artifacts='labDensityAverage_rf_v2'
2026-05-04 13:49:43,062 - INFO - pipeline.training_pipeline - Training completed | target='labDensityAverage' | algorithm='rf' | artifacts='artifacts\labDensityAverage_rf_v2'
2026-05-04 13:49:43,062 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labDensityAverage' | algorithm='xgb' | artifacts='labDensityAverage_xgb_tuned_v2'
2026-05-04 13:49:51,690 - INFO - pipeline.training_pipeline - Training completed | target='labDensityAverage' | algorithm='xgb' | artifacts='artifacts\labDensityAverage_xgb_tuned_v2'
2026-05-04 13:49:51,691 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labDensityAverage' | algorithm='lgbm' | artifacts='labDensityAverage_lgbm_v1'
2026-05-04 13:49:51,901 - INFO - pipeline.training_pipeline - Training completed | target='labDensityAverage' | algorithm='lgbm' | artifacts='artifacts\labDensityAverage_lgbm_v1'
2026-05-04 13:50:14,348 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labBendingAvg' | algorithm='rf' | artifacts='labBendingAvg_rf_v2'
2026-05-04 13:50:15,327 - INFO - pipeline.training_pipeline - Training completed | target='labBendingAvg' | algorithm='rf' | artifacts='artifacts\labBendingAvg_rf_v2'
2026-05-04 13:50:15,327 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labBendingAvg' | algorithm='xgb' | artifacts='labBendingAvg_xgb_tuned_v2'
2026-05-04 13:50:23,630 - INFO - pipeline.training_pipeline - Training completed | target='labBendingAvg' | algorithm='xgb' | artifacts='artifacts\labBendingAvg_xgb_tuned_v2'
2026-05-04 13:50:23,631 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labBendingAvg' | algorithm='lgbm' | artifacts='labBendingAvg_lgbm_v1'
2026-05-04 13:50:23,956 - INFO - pipeline.training_pipeline - Training completed | target='labBendingAvg' | algorithm='lgbm' | artifacts='artifacts\labBendingAvg_lgbm_v1'
2026-05-04 17:00:56,949 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labDensityAverage' | algorithm='rf' | artifacts='labDensityAverage_rf_v2'
2026-05-04 17:00:58,172 - INFO - pipeline.training_pipeline - Training completed | target='labDensityAverage' | algorithm='rf' | artifacts='artifacts\labDensityAverage_rf_v2'
2026-05-04 17:00:58,178 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labDensityAverage' | algorithm='xgb' | artifacts='labDensityAverage_xgb_tuned_v2'
2026-05-04 17:01:07,260 - INFO - pipeline.training_pipeline - Training completed | target='labDensityAverage' | algorithm='xgb' | artifacts='artifacts\labDensityAverage_xgb_tuned_v2'
2026-05-04 17:01:07,264 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labDensityAverage' | algorithm='lgbm' | artifacts='labDensityAverage_lgbm_v1'
2026-05-04 17:01:07,466 - INFO - pipeline.training_pipeline - Training completed | target='labDensityAverage' | algorithm='lgbm' | artifacts='artifacts\labDensityAverage_lgbm_v1'
2026-05-04 17:01:34,390 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labBendingAvg' | algorithm='rf' | artifacts='labBendingAvg_rf_v2'
2026-05-04 17:01:35,465 - INFO - pipeline.training_pipeline - Training completed | target='labBendingAvg' | algorithm='rf' | artifacts='artifacts\labBendingAvg_rf_v2'
2026-05-04 17:01:35,479 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labBendingAvg' | algorithm='xgb' | artifacts='labBendingAvg_xgb_tuned_v2'
2026-05-04 17:01:44,630 - INFO - pipeline.training_pipeline - Training completed | target='labBendingAvg' | algorithm='xgb' | artifacts='artifacts\labBendingAvg_xgb_tuned_v2'
2026-05-04 17:01:44,630 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labBendingAvg' | algorithm='lgbm' | artifacts='labBendingAvg_lgbm_v1'
2026-05-04 17:01:44,845 - INFO - pipeline.training_pipeline - Training completed | target='labBendingAvg' | algorithm='lgbm' | artifacts='artifacts\labBendingAvg_lgbm_v1'
2026-05-05 16:15:11,705 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labDensityAverage' | algorithm='rf' | artifacts='labDensityAverage_rf_v2'
2026-05-05 16:15:12,682 - INFO - pipeline.training_pipeline - Training completed | target='labDensityAverage' | algorithm='rf' | artifacts='artifacts\labDensityAverage_rf_v2'
2026-05-05 16:15:12,682 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labDensityAverage' | algorithm='xgb' | artifacts='labDensityAverage_xgb_tuned_v2'
2026-05-05 16:15:21,044 - INFO - pipeline.training_pipeline - Training completed | target='labDensityAverage' | algorithm='xgb' | artifacts='artifacts\labDensityAverage_xgb_tuned_v2'
2026-05-05 16:15:21,047 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labDensityAverage' | algorithm='lgbm' | artifacts='labDensityAverage_lgbm_v1'
2026-05-05 16:15:21,245 - INFO - pipeline.training_pipeline - Training completed | target='labDensityAverage' | algorithm='lgbm' | artifacts='artifacts\labDensityAverage_lgbm_v1'
2026-05-05 16:15:43,671 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labBendingAvg' | algorithm='rf' | artifacts='labBendingAvg_rf_v2'
2026-05-05 16:15:44,672 - INFO - pipeline.training_pipeline - Training completed | target='labBendingAvg' | algorithm='rf' | artifacts='artifacts\labBendingAvg_rf_v2'
2026-05-05 16:15:44,688 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labBendingAvg' | algorithm='xgb' | artifacts='labBendingAvg_xgb_tuned_v2'
2026-05-05 16:15:54,647 - INFO - pipeline.training_pipeline - Training completed | target='labBendingAvg' | algorithm='xgb' | artifacts='artifacts\labBendingAvg_xgb_tuned_v2'
2026-05-05 16:15:54,649 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labBendingAvg' | algorithm='lgbm' | artifacts='labBendingAvg_lgbm_v1'
2026-05-05 16:15:54,937 - INFO - pipeline.training_pipeline - Training completed | target='labBendingAvg' | algorithm='lgbm' | artifacts='artifacts\labBendingAvg_lgbm_v1'
2026-05-05 16:17:22,841 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labDensityAverage' | algorithm='rf' | artifacts='labDensityAverage_rf_v2'
2026-05-05 16:17:23,842 - INFO - pipeline.training_pipeline - Training completed | target='labDensityAverage' | algorithm='rf' | artifacts='artifacts\labDensityAverage_rf_v2'
2026-05-05 16:17:23,842 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labDensityAverage' | algorithm='xgb' | artifacts='labDensityAverage_xgb_tuned_v2'
2026-05-05 16:17:34,130 - INFO - pipeline.training_pipeline - Training completed | target='labDensityAverage' | algorithm='xgb' | artifacts='artifacts\labDensityAverage_xgb_tuned_v2'
2026-05-05 16:17:34,134 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labDensityAverage' | algorithm='lgbm' | artifacts='labDensityAverage_lgbm_v1'
2026-05-05 16:17:34,553 - INFO - pipeline.training_pipeline - Training completed | target='labDensityAverage' | algorithm='lgbm' | artifacts='artifacts\labDensityAverage_lgbm_v1'
2026-05-05 16:18:34,906 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labBendingAvg' | algorithm='rf' | artifacts='labBendingAvg_rf_v2'
2026-05-05 16:18:36,822 - INFO - pipeline.training_pipeline - Training completed | target='labBendingAvg' | algorithm='rf' | artifacts='artifacts\labBendingAvg_rf_v2'
2026-05-05 16:18:36,822 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labBendingAvg' | algorithm='xgb' | artifacts='labBendingAvg_xgb_tuned_v2'
2026-05-05 16:19:07,732 - INFO - pipeline.training_pipeline - Training completed | target='labBendingAvg' | algorithm='xgb' | artifacts='artifacts\labBendingAvg_xgb_tuned_v2'
2026-05-05 16:19:07,750 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labBendingAvg' | algorithm='lgbm' | artifacts='labBendingAvg_lgbm_v1'
2026-05-05 16:19:09,267 - INFO - pipeline.training_pipeline - Training completed | target='labBendingAvg' | algorithm='lgbm' | artifacts='artifacts\labBendingAvg_lgbm_v1'
2026-05-11 15:16:28,618 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labDensityAverage' | algorithm='rf' | artifacts='labDensityAverage_rf_v2'
2026-05-11 15:16:29,619 - INFO - pipeline.training_pipeline - Training completed | target='labDensityAverage' | algorithm='rf' | artifacts='artifacts\labDensityAverage_rf_v2'
2026-05-11 15:16:29,623 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labDensityAverage' | algorithm='xgb' | artifacts='labDensityAverage_xgb_tuned_v2'
2026-05-11 15:16:41,425 - INFO - pipeline.training_pipeline - Training completed | target='labDensityAverage' | algorithm='xgb' | artifacts='artifacts\labDensityAverage_xgb_tuned_v2'
2026-05-11 15:16:41,429 - INFO - pipeline.training_pipeline - Starting regression pipeline | target='labDensityAverage' | algorithm='lgbm' | artifacts='labDensityAverage_lgbm_v1'
